Time : 2019-04-20 18:04:54 ; Level: info ; Message: User login has started! ; 
Time : 2019-04-20 18:04:57 ; Level: info ; Message: Connected successfully to database (for user selection)! ; 
Time : 2019-04-20 18:04:59 ; Level: info ; Message: [{"userID":1,"name":"Vásárló István","email":"vasarlo@istvan.com","username":"pistike","password":"pistike","rank":"customer"}] data was found in the database ; 
Time : 2019-04-20 18:04:59 ; Level: info ; Message: "[{"userID":1,"name":"Vásárló István","email":"vasarlo@istvan.com","username":"pistike","password":"pistike","rank":"customer"}]" user was found! ; 
Time : 2019-04-20 18:04:59 ; Level: info ; Message: "pistike" user successfully logged in! ; 
Time : 2019-04-20 18:04:07 ; Level: info ; Message: User login has started! ; 
Time : 2019-04-20 18:04:08 ; Level: info ; Message: Connected successfully to database (for user selection)! ; 
Time : 2019-04-20 18:04:08 ; Level: info ; Message: [{"userID":1,"name":"Vásárló István","email":"vasarlo@istvan.com","username":"pistike","password":"pistike","rank":"customer"}] data was found in the database ; 
Time : 2019-04-20 18:04:08 ; Level: info ; Message: "[{"userID":1,"name":"Vásárló István","email":"vasarlo@istvan.com","username":"pistike","password":"pistike","rank":"customer"}]" user was found! ; 
Time : 2019-04-20 18:04:08 ; Level: info ; Message: Password for "pistike" user is incorrect! ; 
Time : 2019-04-20 18:04:60 ; Level: info ; Message: User login has started! ; 
Time : 2019-04-20 18:04:60 ; Level: info ; Message: Connected successfully to database (for user selection)! ; 
Time : 2019-04-20 18:04:60 ; Level: info ; Message: [] data was found in the database ; 
Time : 2019-04-20 18:04:60 ; Level: info ; Message: "nagyon" user was not found! ; 
Time : 2019-04-20 18:04:60 ; Level: info ; Message: "nagyon" user is not registered yet! ; 
Time : 2019-04-20 18:04:27 ; Level: info ; Message: User login has started! ; 
Time : 2019-04-20 18:04:27 ; Level: info ; Message: Connected successfully to database (for user selection)! ; 
Time : 2019-04-20 18:04:28 ; Level: info ; Message: [{"userID":5,"name":"Menedzser Mihály","email":"menedzser@mihaly.com","username":"misike","password":"misike","rank":"manager"}] data was found in the database ; 
Time : 2019-04-20 18:04:28 ; Level: info ; Message: "[{"userID":5,"name":"Menedzser Mihály","email":"menedzser@mihaly.com","username":"misike","password":"misike","rank":"manager"}]" user was found! ; 
Time : 2019-04-20 18:04:28 ; Level: info ; Message: "misike" user successfully logged in! ; 
Time : 2019-04-20 18:04:67 ; Level: info ; Message: User registration has started! ; 
Time : 2019-04-20 18:04:68 ; Level: info ; Message: Connected successfully to database (for user selection)! ; 
Time : 2019-04-20 18:04:68 ; Level: info ; Message: [{"userID":1},{"userID":2},{"userID":3},{"userID":4},{"userID":5}] data was found in the database ; 
Time : 2019-04-20 18:04:68 ; Level: info ; Message: The found maximum ID was: 5 ; 
Time : 2019-04-20 18:04:69 ; Level: info ; Message: Connected successfully to database (for user registration)! ; 
Time : 2019-04-20 18:04:70 ; Level: info ; Message: "{"userID":6,"name":"Kiss Ferenc","email":"kiss@ferenc.com","username":"kicsiferi","password":"kicsiferi","rank":"customer","_id":"5cbb4bf2a9e3b37cfebac462"}" user is successfully inserted into the database! ; 
Time : 2019-04-20 18:04:98 ; Level: info ; Message: User login has started! ; 
Time : 2019-04-20 18:04:98 ; Level: info ; Message: Connected successfully to database (for user selection)! ; 
Time : 2019-04-20 18:04:98 ; Level: info ; Message: [{"userID":6,"name":"Kiss Ferenc","email":"kiss@ferenc.com","username":"kicsiferi","password":"kicsiferi","rank":"customer"}] data was found in the database ; 
Time : 2019-04-20 18:04:98 ; Level: info ; Message: "[{"userID":6,"name":"Kiss Ferenc","email":"kiss@ferenc.com","username":"kicsiferi","password":"kicsiferi","rank":"customer"}]" user was found! ; 
Time : 2019-04-20 18:04:98 ; Level: info ; Message: "kicsiferi" user successfully logged in! ; 
